ID,PREDICTED
001_Anomaly_5000,9552
002_Anomaly_4375,8385
003_Anomaly_4375,8385
004_Anomaly_2500,5507
005_Anomaly_4000,5385
006_Anomaly_4000,5947
007_Anomaly_4000,6514
008_Anomaly_4000,5569
009_Anomaly_4000,4846
010_Anomaly_4000,5998
011_Anomaly_3333,3966
012_Anomaly_5000,5348
013_Anomaly_5000,5336
014_Anomaly_2666,5668
015_Anomaly_250,839
016_Anomaly_1666,5629
017_Anomaly_1666,5670
018_Anomaly_2666,5668
019_Anomaly_5000,6107
020_Anomaly_5000,7244
021_Anomaly_5000,5923
022_Anomaly_4000,6611
023_Anomaly_5000,8660
024_Anomaly_3200,4488
025_Anomaly_2800,5596
026_Anomaly_1700,5707
027_Anomaly_1200,4184
028_Anomaly_1600,3244
029_Anomaly_2300,4499
030_Anomaly_3000,4169
