Name,Start,End
001_Anomaly_5000,7428,7517
002_Anomaly_4375,7075,7112
003_Anomaly_4375,5825,5862
004_Anomaly_2500,5400,5600
005_Anomaly_4000,5391,5392
006_Anomaly_4000,5703,5727
007_Anomaly_4000,6520,6544
008_Anomaly_4000,5549,5597
009_Anomaly_4000,4852,4900
010_Anomaly_4000,6006,6054
011_Anomaly_3333,3933,4033
012_Anomaly_5000,5333,5366
013_Anomaly_5000,5333,5366
014_Anomaly_2666,5666,5700
015_Anomaly_250,840,855
016_Anomaly_1666,5633,5700
017_Anomaly_1666,5666,5700
018_Anomaly_2666,5666,5700
019_Anomaly_5000,6168,6212
020_Anomaly_5000,7175,7388
021_Anomaly_5000,5948,5993
022_Anomaly_4000,6527,6645
023_Anomaly_5000,8612,8716
024_Anomaly_3200,4526,4556
025_Anomaly_2800,5607,5634
026_Anomaly_1700,5684,5854
027_Anomaly_1200,4187,4199
028_Anomaly_1600,3198,3309
029_Anomaly_2300,4485,4587
030_Anomaly_3000,4187,4197
